Date;EURUSD=X;EURGBP=X;GBPUSD=X;GBPEUR=X;GBP=X;EUR=X
2022-04-12;1.087795972824097;0.8352199792861938;1.3024225234985352;1.197100043296814;0.767799973487854;0.919290006160736
2022-04-13;1.0826143026351929;0.8325700163841248;1.3002548217773438;1.2009400129318235;0.7690799832344055;0.9236900210380554
2022-04-14;1.089656949043274;0.8304700255393982;1.312026023864746;1.203969955444336;0.762179970741272;0.9177200198173524
2022-04-15;1.0820988416671753;0.8274999856948853;1.3070015907287598;1.2072900533676147;0.7651100158691406;0.9241300225257874
2022-04-18;1.081525444984436;0.8282099962234497;1.3057557344436646;1.2072099447250366;0.7658399939537048;0.9246199727058412
2022-04-19;1.0781787633895874;0.828499972820282;1.3009822368621826;1.2065600156784058;0.7686499953269958;0.9274899959564208
2022-04-20;1.0794472694396973;0.8293700218200684;1.301371693611145;1.2055000066757202;0.7684199810028076;0.9264000058174132
2022-04-21;1.0849870443344116;0.8299499750137329;1.3068820238113403;1.2044299840927124;0.7651799917221069;0.9216700196266174
2022-04-22;1.0835175514221191;0.8317499756813049;1.302626132965088;1.20209002494812;0.7676799893379211;0.922919988632202
2022-04-25;1.0811045169830322;0.8425999879837036;1.2830876111984253;1.1867200136184692;0.7793700098991394;0.9249799847602844
2022-04-26;1.0714209079742432;0.8408700227737427;1.2739989757537842;1.188979983329773;0.7849299907684326;0.9333400130271912
2022-04-27;1.0643619298934937;0.845740020275116;1.2583998441696167;1.1822099685668943;0.7946599721908569;0.9395300149917604
2022-04-28;1.0555092096328735;0.841509997844696;1.2541857957839966;1.1881799697875977;0.7973300218582153;0.947409987449646
2022-04-29;1.050420165061951;0.8425999879837036;1.2463854551315308;1.1864999532699585;0.8023200035095215;0.9520000219345092
2022-05-02;1.0535964965820312;0.8379499912261963;1.2573871612548828;1.1932300329208374;0.7953000068664551;0.9491299986839294
2022-05-03;1.0509058237075806;0.8407899737358093;1.249828219413757;1.1891599893569946;0.8001099824905396;0.9515600204467772
2022-05-04;1.052853226661682;0.84197998046875;1.2500405311584473;1.187440037727356;0.7999740242958069;0.9498000144958496
